# mdlog[.1-last] used as log with 0 constraints
#    t=          KineticE=          TotalE=            PotentialE=        P(GPa)=            T(K)=              xi=
   6520.00       0.6068719609    -688.1202746661    -688.7271466270       0.0000000000   15968.1296490743       0.0000000000
   6560.00       0.6129040417    -688.1227577333    -688.7356617750       0.0000000000   16126.8468969246       0.0000000000
   6600.00       0.6268599572    -688.1244537008    -688.7513136580       0.0000000000   16494.0575818046       0.0000000000
   6640.00       0.6171018157    -688.1225837033    -688.7396855190       0.0000000000   16237.2995186711       0.0000000000
   6680.00       0.6012690433    -688.1216658867    -688.7229349300       0.0000000000   15820.7046208150       0.0000000000
   6720.00       0.5948578931    -688.1213518909    -688.7162097840       0.0000000000   15652.0132260059       0.0000000000
   6760.00       0.6028697462    -688.1216535408    -688.7245232870       0.0000000000   15862.8226180891       0.0000000000
   6800.00       0.6195229783    -688.1228689787    -688.7423919570       0.0000000000   16301.0056072064       0.0000000000
   6840.00       0.6267221117    -688.1243755513    -688.7510976630       0.0000000000   16490.4305636334       0.0000000000
   6880.00       0.6129205312    -688.1216645438    -688.7345850750       0.0000000000   16127.2807727890       0.0000000000
   6920.00       0.6114378732    -688.1211561258    -688.7325939990       0.0000000000   16088.2687942439       0.0000000000
   6960.00       0.6258078496    -688.1242818354    -688.7500896850       0.0000000000   16466.3743286971       0.0000000000
   7000.00       0.6212077197    -688.1228787813    -688.7440865010       0.0000000000   16345.3348413901       0.0000000000
   7040.00       0.6060867917    -688.1217216963    -688.7278084880       0.0000000000   15947.4701277457       0.0000000000
