#    t=      ,    KineticE=    ,      TotalE=      ,      PotentialE=    ,    P(GPa)=       ,     T(K)=         ,     xi=
   6360.00   ,    0.0333385249 ,  -1151.8603255951 ,  -1151.8936641200   ,    0.0000000000  ,  1002.5252155630  ,     0.0000000000
   6400.00   ,    0.0305577120 ,  -1151.8638084080 ,  -1151.8943661200   ,    0.0000000000  ,   918.9031871097  ,     0.0000000000
   6440.00   ,    0.0445855461 ,  -1151.8639107739 ,  -1151.9084963200   ,    0.0000000000  ,  1340.7352092180  ,     0.0000000000
   6480.00   ,    0.0555982479 ,  -1151.8629984621 ,  -1151.9185967100   ,    0.0000000000  ,  1671.8989702221  ,     0.0000000000
   6520.00   ,    0.0546615540 ,  -1151.8648470560 ,  -1151.9195086100   ,    0.0000000000  ,  1643.7315800394  ,     0.0000000000
   6560.00   ,    0.0342243178 ,  -1151.8608073622 ,  -1151.8950316800   ,    0.0000000000  ,  1029.1619572901  ,     0.0000000000
   6600.00   ,    0.0326937075 ,  -1151.8618116725 ,  -1151.8945053800   ,    0.0000000000  ,   983.1348631932  ,     0.0000000000
   6640.00   ,    0.0558346833 ,  -1151.8683886067 ,  -1151.9242232900   ,    0.0000000000  ,  1679.0088358195  ,     0.0000000000
   6680.00   ,    0.0561356362 ,  -1151.8614455438 ,  -1151.9175811800   ,    0.0000000000  ,  1688.0588133594  ,     0.0000000000
   6720.00   ,    0.0312216923 ,  -1151.8598362877 ,  -1151.8910579800   ,    0.0000000000  ,   938.8697865946  ,     0.0000000000
   6760.00   ,    0.0211978586 ,  -1151.8624798014 ,  -1151.8836776600   ,    0.0000000000  ,   637.4423543395  ,     0.0000000000
   6800.00   ,    0.0296757169 ,  -1151.8645524931 ,  -1151.8942282100   ,    0.0000000000  ,   892.3806477399  ,     0.0000000000
   6840.00   ,    0.0411599109 ,  -1151.8624322291 ,  -1151.9035921400   ,    0.0000000000  ,  1237.7226843124  ,     0.0000000000
   6880.00   ,    0.0470437219 ,  -1151.8645297281 ,  -1151.9115734500   ,    0.0000000000  ,  1414.6551958334  ,     0.0000000000
   6920.00   ,    0.0359568139 ,  -1151.8644322561 ,  -1151.9003890700   ,    0.0000000000  ,  1081.2599736457  ,     0.0000000000
   6960.00   ,    0.0197504115 ,  -1151.8564976985 ,  -1151.8762481100   ,    0.0000000000  ,   593.9160664300  ,     0.0000000000
   7000.00   ,    0.0333446662 ,  -1151.8778088838 ,  -1151.9111535500   ,    0.0000000000  ,  1002.7098913773  ,     0.0000000000
   7040.00   ,    0.0648855786 ,  -1151.8571908614 ,  -1151.9220764400   ,    0.0000000000  ,  1951.1789694703  ,     0.0000000000
